name,percent,stories,clips,price
Bennet,0.5188235294117647,36,2.3333333333333335,0.010222222222222223
Biden,29.932815934065935,1518,1719.6666666666665,0.252
Booker,2.4071406959152797,205.33333333333334,62.666666666666664,0.03422222222222222
Bullock,0.4465546218487395,22,2,0.012
Buttigieg,6.094650455927051,367,161.33333333333337,0.08488888888888889
Castro,1.0417124394184167,59.333333333333336,24.333333333333332,0.015
Delaney,0.4620714285714286,22,4,0.01
Gabbard,1.0396610169491525,227,273.3333333333333,0.034
Harris,8.110967741935484,318.6666666666667,132.33333333333334,0.12911111111111112
Klobuchar,1.5300470957613814,226,103.66666666666667,0.015222222222222222
O'Rourke,3.8084018987341772,103,97.33333333333333,0.020888888888888887
Ryan,0.5901363636363637,28.333333333333332,11.333333333333332,0.01
Sanders,17.32799446749654,687.6666666666666,558.3333333333334,0.12788888888888889
Sestak,0.18467741935483872,11,0,NaN
Steyer,1.0647340425531915,137,68.33333333333333,0.018611111111111113
Warren,15.473980716253443,870,826.3333333333334,0.3241111111111111
Williamson,0.4100391389432485,34.333333333333336,4.666666666666665,0.012444444444444445
Yang,1.8492436974789916,161.33333333333334,30.66666666666666,0.09533333333333334
